PBCT	20.14	12.51
PCLN	2067.99	665.05
PEP	122.51	70.98
PFE	39.43	26.79
PFG	75.585	30.44
PG	94.67	65.02
PGR	58.25	22.53
PHM	35.21	14.23
PM	123.55	75.27
PNC	160.07	60.37
PNW	92.48	51.15
PPG	122.0697	64.1
PRU	127.14	53.7
PSX	107.47	54.8
PWR	40.105	16.77
PYPL	86.32	30.0
RCL	135.65	31.35
RE	277.17	118.5
RHI	63.27	30.64
RMD	104.78	41.52
ROP	290.415	118.01
RRC	95.41	12.7
SBAC	177.67	66.68
SCG	76.41	35.31
SCHW	56.25	15.96
SEE	55.84	18.83
SIG	152.27	46.09
SLB	118.76	59.6
SPGI	185.38	42.07
STT	114.27	50.595
STX	69.4	18.4201
STZ	229.5	31.05
SWK	176.62	73.77
SYK	170.0	61.59
SYY	64.27	31.13
TAP	112.19	43.38
TDG	321.38	134.48
TEL	108.23	38.75
TGT	85.81	48.56
TIF	111.44	56.985
TRIP	111.24	29.5
TSCO	97.25	49.82
TSN	84.65	21.79
TWX	103.9	51.62
UAA	52.945	11.4
UDR	40.71	21.96
UNH	250.79	52.51
UNP	143.05	66.1
UTX	139.24	83.39
VAR	130.29	63.1
VFC	82.95	35.7857
VLO	99.95	33.0
VNO	126.62	66.0101
VRSN	118.28	43.28
WEC	70.09	39.04
WHR	217.11	104.06
XEL	52.22	26.9
XYL	76.81	23.61
YUM	95.9	59.57
ZTS	80.13	28.135
